MOIS;MIS;OTBDEF;OTBNEP;OTTDEF;OTTNEP;Year
1;323,6;203,0;681,7;50,0;61804,2;2015
2;254,1;172,3;572,6;0,0;86267,7;2015
3;131,9;482,0;3222,1;0,0;223699,4;2015
4;1879,0;1088,7;27206,8;0,0;454807,9;2015
5;497,5;452,2;48086,4;2,1;520072,6;2015
6;1014,3;461,5;51371,9;7,8;476421,3;2015
7;1199,0;1327,1;52488,5;0,0;526301,5;2015
8;1377,3;474,7;21823,6;0,0;331708,4;2015
9;1298,0;1143,8;9433,3;16,8;199344,7;2015
10;226,1;563,0;3568,2;0,0;138606,7;2015
11;168,8;488,7;2051,3;53,5;150992,1;2015
12;435,4;744,1;3954,1;105,4;158046,9;2015
1;316,7;456,6;655,5;6,1;135482,6;2016
2;274,2;857,1;1150,1;0,0;171417,7;2016
3;236,2;585,9;4248,5;0,0;321904,1;2016
4;131,0;372,8;31677,8;15,1;615363,3;2016
5;301,0;708,1;25671,0;7,0;550405,0;2016
6;282,0;714,4;24923,8;0,0;511154,7;2016
7;488,5;367,8;26160,5;52,0;514715,6;2016
8;933,4;614,8;13746,9;39,6;424382,7;2016
9;468,8;497,2;8622,1;18,5;216533,5;2016
10;481,0;67,0;4591,1;13,4;135776,9;2016
11;384,8;39,9;1799,6;0,0;163532,8;2016
12;635,3;160,0;1940,1;4,4;174465,6;2016
1;271,0;318,9;611,8;0,0;134884,4;2017
2;91,0;755,8;3092,4;6,0;148240,7;2017
3;78,0;4066,7;5794,3;0,0;277850,1;2017
4;36,0;4943,0;6509,8;0,0;518934,7;2017
5;89,0;10074,4;16353,8;7,0;623767,2;2017
6;297,9;4006,5;17339,1;24,3;516261,9;2017
7;280,0;3308,3;16767,9;27,0;398260,1;2017
8;1072,3;2708,8;17292,8;0,0;265783,3;2017
9;765,3;470,1;5621,2;6,2;143106,8;2017
10;459,6;247,7;1748,0;0,0;95640,8;2017
11;584,9;49,1;352,7;0,0;95257,8;2017
12;457,0;395,6;573,8;0,0;65817,0;2017
1;186,0;786,6;1690,5;0,0;37064,8;2018
2;235,2;417,7;2590,6;0,0;95819,2;2018
3;203,0;538,4;3600,4;0,0;143054,6;2018
4;56,0;4178,4;9432,0;0,0;249387,2;2018
5;2112,8;13623,4;14511,8;1337,6;480919,6;2018
6;105,5;4757,7;13785,0;0,0;390796,5;2018
7;269,6;4366,7;12518,5;5,0;262187,4;2018
8;754,2;1912,3;9048,6;0,0;166165,6;2018
9;590,7;881,8;2882,9;0,0;65937,5;2018
10;424,0;584,8;2087,6;0,0;49001,4;2018
11;182,6;298,8;644,4;5,0;35263,8;2018
12;186,9;643,4;1214,8;12,9;35467,5;2018
1;248,0;435,2;2405,5;0,0;104051,9;2019
2;71,8;1123,3;2919,7;0,0;109121,8;2019
3;29,0;2581,3;4216,9;0,0;154970,5;2019
4;16,0;1268,1;9087,0;13,0;260939,2;2019
5;51,5;1151,2;18818,6;0,0;399872,9;2019
6;188,1;1524,7;16695,7;5,8;372931,1;2019
7;113,2;1291,9;13844,8;11,0;242252,3;2019
8;352,8;1374,7;14505,6;0,0;160030,5;2019
9;110,0;159,3;4202,9;0,0;52924,1;2019
10;51,8;33,7;3593,8;0,0;91090,6;2019
11;34,5;636,1;1823,1;0,0;49558,4;2019
12;80,1;1348,1;2235,7;40,0;47854,8;2019
1;104,0;525,1;1873,4;0,0;70763,9;2020
2;56,6;1043,7;1649,0;0,0;76932,3;2020
3;121,5;1585,7;2873,8;35,3;142597,1;2020
4;312,2;1608,6;4900,6;0,0;212815,8;2020
5;546,7;1814,5;10276,8;40,1;382410,8;2020
6;507,1;2670,0;13620,3;15,1;359123,3;2020
7;5,4;5118,9;9337,6;20,0;337825,7;2020
8;12,5;1451,1;3421,5;67,1;204576,4;2020
9;9,8;159,5;3747,7;16,2;135151,0;2020
10;44,7;363,0;1569,5;0,0;106510,8;2020
11;19,5;860,1;3069,0;0,0;103498,8;2020
12;43,1;288,7;1437,1;50,0;63147,2;2020
1;662,6;184,1;3847,7;0,0;156394,3;2021
2;251,8;550,8;3123,0;0,0;125005,0;2021
3;4808,0;1903,4;6873,5;0,0;293080,4;2021
4;756,5;2826,8;27373,2;0,0;390441,1;2021
5;51,7;2038,9;32314,0;0,0;394209,0;2021
6;423,0;5227,0;48334,6;0,0;503674,0;2021
7;26,2;1951,7;38975,0;0,0;357870,4;2021
8;18,8;1030,0;19456,6;1141,0;253963,4;2021
9;26,4;380,7;4707,6;0,0;130601,6;2021
10;7,0;158,3;1815,4;0,0;67411,4;2021
11;0,0;332,6;1099,4;0,0;74003,9;2021
12;590,0;596,1;1479,4;0,0;43949,8;2021
